indicator,scenario,year,mean,lower_ci,upper_ci
access,base,2025,50.00713494448769,49.87546444678684,50.16425569193638
access,base,2026,51.02097484428579,50.84684830529162,51.19759235168079
access,base,2027,52.02599480477038,51.84181600521252,52.16155211816296
access,optimistic,2025,64.99482998459172,64.74459610847146,65.21237072442385
access,optimistic,2026,66.31628993808623,66.11906966092762,66.50070776624047
access,optimistic,2027,67.62598165478903,67.43942774424868,67.81756786208534
access,pessimistic,2025,35.00270837172473,34.88931825968629,35.10523508630661
access,pessimistic,2026,35.7233115744499,35.59317395636783,35.83200149901491
access,pessimistic,2027,36.41719611990175,36.303292701452705,36.53519616831927
usage,base,2025,38.059568319354526,37.212744231891286,38.89369534953687
usage,base,2026,41.03358947844158,40.27976758980226,41.8677811951128
usage,base,2027,44.02372733751443,42.91071381295074,45.040518871948684
usage,optimistic,2025,49.368128330521536,48.4607329963864,50.19606001642144
usage,optimistic,2026,53.478270954497766,52.36927609973035,54.60153631158439
usage,optimistic,2027,57.2707946268791,56.21106996723271,58.22965682540102
usage,pessimistic,2025,26.597440099040735,26.068546087606865,27.11861930234367
usage,pessimistic,2026,28.76434257377546,28.29633404465929,29.408069872769673
usage,pessimistic,2027,30.828346753047107,30.203759822090944,31.41412527942152
