parameter,parameter_value,forecast_mean,delta_vs_base,base_forecast,indicator,target_year
growth_scale,0.5,55.894879185163965,-5.32758620689674,61.222465392060705,access,2027
growth_scale,0.75,58.55867228861234,-2.663793103448363,61.222465392060705,access,2027
growth_scale,1.0,61.222465392060705,0.0,61.222465392060705,access,2027
growth_scale,1.25,63.88625849550908,2.663793103448377,61.222465392060705,access,2027
growth_scale,1.5,66.55005159895745,5.327586206896747,61.222465392060705,access,2027
event_scale,0.0,59.42246539206075,-1.7999999999999545,61.222465392060705,access,2027
event_scale,0.5,60.32246539206078,-0.8999999999999275,61.222465392060705,access,2027
event_scale,1.0,61.222465392060705,0.0,61.222465392060705,access,2027
event_scale,1.5,62.12246539206075,0.9000000000000412,61.222465392060705,access,2027
event_scale,2.0,63.02246539206073,1.8000000000000256,61.222465392060705,access,2027
decay_factor,0.7,60.82246539206078,-0.3999999999999275,61.222465392060705,access,2027
decay_factor,0.8,61.02246539206073,-0.19999999999997442,61.222465392060705,access,2027
decay_factor,0.9,61.222465392060705,0.0,61.222465392060705,access,2027
decay_factor,0.95,61.32246539206078,0.10000000000007248,61.222465392060705,access,2027
decay_factor,1.0,61.42246539206074,0.20000000000003126,61.222465392060705,access,2027
lag_years,0.0,61.042465392060734,-0.1799999999999713,61.222465392060705,access,2027
lag_years,1.0,61.222465392060705,0.0,61.222465392060705,access,2027
lag_years,2.0,61.42246539206074,0.20000000000003126,61.222465392060705,access,2027
residual_scale,0.5,61.3388189029271,0.11635351086639645,61.222465392060705,access,2027
residual_scale,1.0,61.222465392060705,0.0,61.222465392060705,access,2027
residual_scale,1.5,61.10611188119442,-0.11635351086628276,61.222465392060705,access,2027
residual_scale,2.0,60.98975837032802,-0.23270702173268631,61.222465392060705,access,2027
growth_scale,0.5,47.49194157059144,-8.0,55.49194157059144,usage,2027
growth_scale,0.75,51.49194157059144,-4.0,55.49194157059144,usage,2027
growth_scale,1.0,55.49194157059144,0.0,55.49194157059144,usage,2027
growth_scale,1.25,59.49194157059144,4.0,55.49194157059144,usage,2027
growth_scale,1.5,63.49194157059144,8.0,55.49194157059144,usage,2027
event_scale,0.0,50.99194157059144,-4.5,55.49194157059144,usage,2027
event_scale,0.5,53.24194157059144,-2.25,55.49194157059144,usage,2027
event_scale,1.0,55.49194157059144,0.0,55.49194157059144,usage,2027
event_scale,1.5,57.74194157059144,2.25,55.49194157059144,usage,2027
event_scale,2.0,59.99194157059144,4.5,55.49194157059144,usage,2027
decay_factor,0.7,54.49194157059144,-1.0,55.49194157059144,usage,2027
decay_factor,0.8,54.99194157059144,-0.5,55.49194157059144,usage,2027
decay_factor,0.9,55.49194157059144,0.0,55.49194157059144,usage,2027
decay_factor,0.95,55.74194157059144,0.25,55.49194157059144,usage,2027
decay_factor,1.0,55.99194157059144,0.5,55.49194157059144,usage,2027
lag_years,0.0,55.04194157059144,-0.45000000000000284,55.49194157059144,usage,2027
lag_years,1.0,55.49194157059144,0.0,55.49194157059144,usage,2027
lag_years,2.0,55.99194157059144,0.5,55.49194157059144,usage,2027
residual_scale,0.5,55.49597078529571,0.004029214704267758,55.49194157059144,usage,2027
residual_scale,1.0,55.49194157059144,0.0,55.49194157059144,usage,2027
residual_scale,1.5,55.48791235588719,-0.0040292147042535476,55.49194157059144,usage,2027
residual_scale,2.0,55.48388314118291,-0.008058429408535517,55.49194157059144,usage,2027
