indicator,parameter,min_forecast,max_forecast,range,base_forecast,target_year
access,growth_scale,55.894879185163965,66.55005159895745,10.655172413793487,61.222465392060705,2027
access,event_scale,59.42246539206075,63.02246539206073,3.59999999999998,61.222465392060705,2027
access,decay_factor,60.82246539206078,61.42246539206074,0.5999999999999588,61.222465392060705,2027
access,lag_years,61.042465392060734,61.42246539206074,0.38000000000000256,61.222465392060705,2027
access,residual_scale,60.98975837032802,61.3388189029271,0.34906053259908276,61.222465392060705,2027
usage,growth_scale,47.49194157059144,63.49194157059144,16.0,55.49194157059144,2027
usage,event_scale,50.99194157059144,59.99194157059144,9.0,55.49194157059144,2027
usage,decay_factor,54.49194157059144,55.99194157059144,1.5,55.49194157059144,2027
usage,lag_years,55.04194157059144,55.99194157059144,0.9500000000000028,55.49194157059144,2027
usage,residual_scale,55.48388314118291,55.49597078529571,0.012087644112803275,55.49194157059144,2027
